# ADC Lookup Table Generated by A. Hedglen
# Nov 2019
#
# Atmospheric Pressure = 765 mb
# Temperature = 290 K
# Height = 2380 m
# Humidity = 0.5
# Latitude = 29.015
# Wavelength: 0.6 - 1.1 um
#
#Zenith,ADC1,ADC2
40.1000,-13.0144,13.2088
40.2000,-13.0623,13.2555
40.3000,-13.1104,13.3023
40.4000,-13.1586,13.3492
40.5000,-13.2069,13.3963
40.6000,-13.2554,13.4435
40.7000,-13.3041,13.4909
40.8000,-13.3529,13.5385
40.9000,-13.4018,13.5862
41.0000,-13.4509,13.6341
41.1000,-13.5002,13.6821
41.2000,-13.5496,13.7303
41.3000,-13.5992,13.7786
41.4000,-13.6489,13.8272
41.5000,-13.6988,13.8758
41.6000,-13.7488,13.9247
41.7000,-13.7990,13.9737
41.8000,-13.8494,14.0228
41.9000,-13.9000,14.0721
42.0000,-13.9507,14.1216
42.1000,-14.0015,14.1713
42.2000,-14.0526,14.2211
42.3000,-14.1038,14.2712
42.4000,-14.1552,14.3213
42.5000,-14.2067,14.3717
42.6000,-14.2584,14.4222
42.7000,-14.3103,14.4729
42.8000,-14.3624,14.5238
42.9000,-14.4146,14.5749
43.0000,-14.4671,14.6261
43.1000,-14.5197,14.6776
43.2000,-14.5725,14.7292
43.3000,-14.6254,14.7809
43.4000,-14.6786,14.8329
43.5000,-14.7319,14.8851
43.6000,-14.7854,14.9374
43.7000,-14.8391,14.9900
43.8000,-14.8930,15.0427
43.9000,-14.9471,15.0956
44.0000,-15.0014,15.1488
44.1000,-15.0559,15.2021
44.2000,-15.1105,15.2556
44.3000,-15.1654,15.3093
44.4000,-15.2204,15.3632
44.5000,-15.2757,15.4173
44.6000,-15.3312,15.4716
44.7000,-15.3868,15.5261
44.8000,-15.4427,15.5808
44.9000,-15.4987,15.6357
45.0000,-15.5550,15.6909
45.1000,-15.6115,15.7462
45.2000,-15.6682,15.8018
45.3000,-15.7251,15.8575
45.4000,-15.7822,15.9135
45.5000,-15.8395,15.9697
45.6000,-15.8971,16.0261
45.7000,-15.9548,16.0827
45.8000,-16.0128,16.1396
45.9000,-16.0710,16.1967
46.0000,-16.1294,16.2540
46.1000,-16.1881,16.3115
46.2000,-16.2469,16.3692
46.3000,-16.3060,16.4272
46.4000,-16.3654,16.4854
46.5000,-16.4249,16.5439
46.6000,-16.4847,16.6025
46.7000,-16.5448,16.6615
46.8000,-16.6050,16.7206
46.9000,-16.6655,16.7800
47.0000,-16.7263,16.8396
47.1000,-16.7873,16.8995
47.2000,-16.8485,16.9597
47.3000,-16.9100,17.0200
47.4000,-16.9717,17.0807
47.5000,-17.0337,17.1415
47.6000,-17.0959,17.2027
47.7000,-17.1584,17.2640
47.8000,-17.2211,17.3257
47.9000,-17.2842,17.3876
48.0000,-17.3474,17.4498
48.1000,-17.4109,17.5122
48.2000,-17.4747,17.5749
48.3000,-17.5388,17.6378
48.4000,-17.6031,17.7011
48.5000,-17.6677,17.7646
48.6000,-17.7326,17.8284
48.7000,-17.7977,17.8924
48.8000,-17.8632,17.9568
48.9000,-17.9289,18.0214
49.0000,-17.9949,18.0863
49.1000,-18.0611,18.1515
49.2000,-18.1277,18.2169
49.3000,-18.1946,18.2827
49.4000,-18.2617,18.3488
49.5000,-18.3292,18.4151
49.6000,-18.3969,18.4818
49.7000,-18.4649,18.5487
49.8000,-18.5333,18.6160
49.9000,-18.6019,18.6836
50.0000,-18.6709,18.7514
50.1000,-18.7402,18.8196
50.2000,-18.8097,18.8881
50.3000,-18.8796,18.9569
50.4000,-18.9499,19.0261
50.5000,-19.0204,19.0955
50.6000,-19.0912,19.1653
50.7000,-19.1624,19.2354
50.8000,-19.2340,19.3058
50.9000,-19.3058,19.3766
51.0000,-19.3780,19.4477
51.1000,-19.4505,19.5192
51.2000,-19.5234,19.5910
51.3000,-19.5966,19.6631
51.4000,-19.6701,19.7356
51.5000,-19.7441,19.8084
51.6000,-19.8183,19.8816
51.7000,-19.8929,19.9551
51.8000,-19.9679,20.0290
51.9000,-20.0433,20.1033
52.0000,-20.1190,20.1779
52.1000,-20.1950,20.2529
52.2000,-20.2715,20.3283
52.3000,-20.3483,20.4041
52.4000,-20.4255,20.4802
52.5000,-20.5031,20.5567
52.6000,-20.5811,20.6336
52.7000,-20.6595,20.7109
52.8000,-20.7383,20.7886
52.9000,-20.8174,20.8667
53.0000,-20.8970,20.9452
53.1000,-20.9770,21.0241
53.2000,-21.0573,21.1034
53.3000,-21.1381,21.1831
53.4000,-21.2194,21.2632
53.5000,-21.3010,21.3438
53.6000,-21.3830,21.4248
53.7000,-21.4655,21.5062
53.8000,-21.5485,21.5880
53.9000,-21.6318,21.6703
54.0000,-21.7156,21.7530
54.1000,-21.7999,21.8362
54.2000,-21.8846,21.9198
54.3000,-21.9697,22.0039
54.4000,-22.0553,22.0884
54.5000,-22.1414,22.1734
54.6000,-22.2279,22.2589
54.7000,-22.3150,22.3448
54.8000,-22.4025,22.4312
54.9000,-22.4904,22.5181
55.0000,-22.5789,22.6055
55.1000,-22.6678,22.6934
55.2000,-22.7573,22.7817
55.3000,-22.8472,22.8706
55.4000,-22.9377,22.9600
55.5000,-23.0287,23.0498
55.6000,-23.1202,23.1402
55.7000,-23.2122,23.2312
55.8000,-23.3047,23.3226
55.9000,-23.3978,23.4146
56.0000,-23.4914,23.5071
56.1000,-23.5856,23.6002
56.2000,-23.6803,23.6938
56.3000,-23.7755,23.7880
56.4000,-23.8714,23.8827
56.5000,-23.9678,23.9780
56.6000,-24.0647,24.0739
56.7000,-24.1623,24.1703
56.8000,-24.2604,24.2673
56.9000,-24.3591,24.3650
57.0000,-24.4584,24.4632
57.1000,-24.5584,24.5620
57.2000,-24.6589,24.6615
57.3000,-24.7601,24.7615
57.4000,-24.8619,24.8622
57.5000,-24.9643,24.9635
